#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   2013.7242498623896       -2.6316866647457107
   2032.3570109362208       -2.6319211750191882
   2051.1621788255666       -2.6321555653545343
   2070.1413487910413       -2.6323898358689406
   2089.2961308540407       -2.6324397871443712
   2108.6281499332886       -2.6324398911607214
   2128.1390459827135       -2.6325204427182380
   2147.8304741305333       -2.6327545267415453
   2167.7041048196961       -2.6329884910984869
   2187.7616239495519       -2.6330120394456733
   2208.0047330189013       -2.6330121433320537
   2228.4351492703031       -2.6331189272338476
   2249.0546058357827       -2.6333527051869079
   2269.8648518838213       -2.6335863634372330
   2290.8676527677749       -2.6338199019253663
   2312.0647901755942       -2.6340533205698620
   2333.4580622810045       -2.6341540861725727
   2355.0492838960090       -2.6341541897988523
   2376.8402866248762       -2.6341834522295580
   2398.8329190194900       -2.6344166839830532
   2421.0290467361774       -2.6346494616845604
   2443.4305526939711       -2.6348828527345556
   2466.0393372343387       -2.6351160172776091
   2488.8573182823902       -2.6352937909047087
   2511.8864315095798       -2.6352938943548114
   2535.1286304979071       -2.6352939978048777
   2558.5858869056451       -2.6354788257982471
   2582.2601906345958       -2.6357115055295788
   2606.1535499988950       -2.6359440216430912
   2630.2679918953813       -2.6361763841159074
   2654.6055619755389       -2.6364086007211762
   2679.1683248190316       -2.6364305726220465
   2703.9583641088434       -2.6364306757267530
   2728.9777828080405       -2.6365380529954825
   2754.2287033381663       -2.6367700538586130
   2779.7132677592886       -2.6369976556407790
   2805.4336379517131       -2.6369977585998505
   2831.3919957993789       -2.6369978615588967
   2857.5905433749467       -2.6371311837895735
   2884.0315031266059       -2.6373628501067437
   2910.7171180666051       -2.6375943898258511
   2937.6496519615307       -2.6378258044887462
   2964.8313895243423       -2.6380570952716540
   2992.2646366081890       -2.6381295140637895
   3019.9517204020162       -2.6381296167501316
   3047.8949896279833       -2.6381860387923783
   3076.0968147407079       -2.6384171383176387
